"","sex","joint","reachheight","deviation","moment","Fstat","numdf","dendf","adjrsquared","residualstderror","slope_coefficient","slope_standarderror","slope_tvalue","slope_pvalue"
"29","M","Elbow",100,1,"Norm_RS_Moment",33.724815975332,1,2998,0.0107941247843117,4.35077737793561,0.270108113369595,0.046511766612462,5.80730711908124,7.01388948309084e-09
"30","M","Elbow",100,1,"Norm_B_Moment",71.4467806605288,1,2998,0.02295096989607,15.2904183657151,-1.38167746454771,0.163461448071262,-8.4526197513273,4.38188212113551e-17
"31","M","Shoulder",100,-1,"Norm_RE_Moment",97.5427395269533,1,2998,0.0311876616317391,1.13487095907821,-0.119822928762137,0.0121322808773433,-9.8763727920199,1.16428451387316e-22
"32","M","Shoulder",100,-1,"Norm_RS_Moment",14.9305096835879,1,2998,0.00462357483480469,4.30991016187366,0.178033408998803,0.0460748776957329,3.86400177065018,0.000113906821227103
"33","M","Shoulder",100,-1,"Norm_B_Moment",2.35879567573593,1,2998,0.000452877728388534,11.3717723651565,0.186710736708958,0.121569360202283,1.53583712539314,0.124683854426999
"34","M","Shoulder",100,1,"Norm_RE_Moment",0.0892557036387169,1,2998,-0.000303774910846544,1.10652419398561,-0.00353406779684507,0.0118292412116294,-0.298756930695664,0.765146221125147
"35","M","Shoulder",100,1,"Norm_RS_Moment",8.37678060778064,1,2998,0.00245371127643212,4.0681649808187,0.125873150140355,0.0434905130031295,2.89426685151535,0.00382789349973084
"36","M","Shoulder",100,1,"Norm_B_Moment",29.1019706206508,1,2998,0.00928345688166199,10.5385890324157,0.607770534866311,0.112662255712322,5.39462423349861,7.40103956466507e-08
"37","M","Wrist",120,-1,"Norm_RE_Moment",403.023100011585,1,2998,0.118206518506215,2.08784236405184,0.448083187046358,0.0223199737253545,20.0754352384096,3.26141252389912e-84
"38","M","Wrist",120,-1,"Norm_RS_Moment",4.38049963163403,1,2998,0.00112593977746955,3.78686394226476,-0.0847300571342112,0.040483278406522,-2.09296431685634,0.0364361939916318
"39","M","Wrist",120,-1,"Norm_B_Moment",17.6765655225082,1,2998,0.00552995825652114,1.16239698970404,-0.0522455606256755,0.0124265465225425,-4.20435078490222,2.69492811675683e-05
"40","M","Wrist",120,1,"Norm_RE_Moment",394.204737319388,1,2998,0.115914211484213,1.68945985605115,0.358595445909024,0.0180610855715766,19.8545898300465,1.6135512976375e-82
"41","M","Wrist",120,1,"Norm_RS_Moment",9.69365734269972,1,2998,0.00289047301126433,3.83403266041689,-0.127613204262816,0.0409875332142325,-3.11346388170791,0.00186649388440014
"42","M","Wrist",120,1,"Norm_B_Moment",6.54719793766865,1,2998,0.00184626753125283,0.0677527269242222,-0.00185332032419096,0.000724307117628836,-2.55874929167916,0.0105536505767502
"43","M","Elbow",120,-1,"Norm_RE_Moment",103.631935285057,1,2998,0.0330896564861508,1.7827230886638,-0.194011139728904,0.0190581114664894,-10.1799771750754,5.94643588815667e-24
"44","M","Elbow",120,-1,"Norm_RS_Moment",2.27329497793516,1,2998,0.000424392997820155,3.83179064118719,0.0617626102454972,0.0409635650204834,1.50774499764885,0.131725168453263
"45","M","Elbow",120,-1,"Norm_B_Moment",0.419636490322631,1,2998,-0.000193556466417943,0.0659509795101384,-0.000456724013750241,0.000705045627568812,-0.647793555326553,0.517168087876326
