"","Sex","Joint_Pert","Reach_Height","Joint","meandiff_RE_Moment","meandiff_RS_Moment","meandiff_B_Moment","stddiff_RE_Moment","stddiff_RS_Moment","stddiff_B_Moment","meandiff_Norm_RE_Moment","meandiff_Norm_RS_Moment","meandiff_Norm_B_Moment","stddiff_Norm_RE_Moment","stddiff_Norm_RS_Moment","stddiff_Norm_B_Moment"
"21","F",5,120,"Wrist",1.09965735992528,-0.162996835548252,-0.00716689772695888,0.0478146488292368,0.10679321317726,0.014964537496722,2.71479392564069,-0.352765615040851,-0.00645860029002647,0.227978500723319,0.22594268874083,0.0121822931154572
"22","F",5,140,"Elbow",-0.576958235264154,-0.0369866748858286,-0.0299002842083162,0.0519762371575855,0.0441643160033478,0.0717360362769474,-1.40721520796135,-0.0821926108573966,-0.0218250249695739,0.126771310140453,0.0981429244518839,0.0523620702751441
"23","F",5,140,"Shoulder",-0.214566881303167,-0.433568216914696,11.7031233748025,0.108399406242187,0.161216032607496,2.6697942288299,-0.523333856836992,-0.963484926477102,8.54242582102374,0.264388795712651,0.358257850238881,1.94875491155467
"24","F",5,140,"Wrist",1.008238382795,0.0417821879338377,-0.119889122431828,0.0971545060819084,0.0857357919298297,0.136832863778799,2.45911800681708,0.0928493065196394,-0.0875103083443997,0.236962209955874,0.190523982066288,0.0998780027582476
"25","M",-5,80,"Elbow",6.83453293959246e-16,-0.790940889654213,0.284165550768374,1.2654477288823e-14,0.167453681910737,0.0731410464362594,1.50546242139171e-15,-0.850474074897003,0.130351170077236,2.75006471502198e-14,0.180057722484663,0.0335509387322287
"26","M",-5,80,"Shoulder",-6.48370246381091e-16,-0.819106156774652,-0.508163986413049,7.86446296273964e-15,0.183952487933822,0.096730488958451,-1.36957112317759e-15,-0.880759308359841,-0.233102746061032,1.71230476044228e-14,0.19779837412239,0.044371783925895
"27","M",-5,80,"Wrist",-1.14833155753849,-1.04803413619749,-5.50162008295722,0.0573418499688164,0.0389139500536499,0.839672407722461,-2.49637295117064,-1.12691842601881,-2.52367893713634,0.124656195584383,0.0418429570469354,0.385170829230487
"28","M",-5,100,"Elbow",0.174534916520575,-0.772459582274818,0.520599052027557,0.198405508005658,0.290032364389716,0.520936180399762,0.379423731566468,-0.830601701370772,0.25287193498755,0.43131632175143,0.311862757408296,0.228618657484436
"29","M",-5,100,"Shoulder",0.271430106854747,-0.82078004287423,-1.80405164415074,0.329239388985457,0.215088472290345,1.63882530613292,0.590065449684232,-0.882559185886269,-1.01396903466685,0.715737802142298,0.231277927193919,0.880177103937463
"30","M",-5,100,"Wrist",-1.14855103430562,0.594216667919529,-9.48682312995977,0.0567564323004961,1.36146761746931,10.6853674347376,-2.49685007457744,0.638942653676913,-4.35864554284846,0.123383548479339,1.46394367469818,4.90896900771981
"31","M",-5,120,"Elbow",0.61204247480543,-0.242285290209832,0.000777188279053004,0.0111185845014621,0.0877655317865469,0.00942283768590623,0.970127812902565,-0.308793945448558,0.000514403912413798,0.243836144585823,0.117668460399595,0.00531855170540134
"32","M",-5,120,"Shoulder",1.28139901496782,-0.539404294646182,-0.129583145026866,0.0287372195350274,0.179240585327071,0.0423684083956411,1.92680395846269,-0.684258457818453,-0.0936076076985532,0.387534230091905,0.24355248897623,0.0437902075199343
"33","M",-5,120,"Wrist",-1.17865009161679,0.332350538156788,0.588176539762147,0.0596805433265563,0.367579076620901,3.5460743189668,-2.23661655251315,0.424009557910937,0.271708373348148,0.442834680828442,0.526506664393835,1.62633245883138
"34","M",-5,140,"Elbow",0.499813835694599,-0.438513888085146,7.55503715720681,0.261508602858506,0.735210452872621,13.7048024646113,0.649108877525453,-0.644873364831097,3.46561337486551,0.339621562153904,1.08119184245974,6.28660663514279
"35","M",-5,140,"Shoulder",1.10451179694004,0.399935965020742,-7.54257440196638,0.604466866537905,0.972133684596513,13.5971013828083,1.43443090511694,0.588141125030503,-6.02908980108305,0.785021904594682,1.42960835970075,11.0278093358162
"36","M",-5,140,"Wrist",-1.03950210128776,-1.6802098024509,24.112467203713,0.207131365990239,1.53721648363405,14.6665383076343,-1.37161513370444,-2.47089676831014,11.0607647723454,0.304773376571504,2.26061247593242,6.72776986588729
"37","M",5,80,"Elbow",-6.30606677987089e-16,0.926279482237185,0.361669254269066,7.81035678922622e-15,0.171801091074545,0.0315935746552305,-1.32782673745169e-15,0.99599944326579,0.165903327646361,1.70279482871174e-14,0.184732355994135,0.0144924654381788
"38","M",5,80,"Shoulder",-6.97220059464598e-17,0.912412173546059,1.03513032665499,8.83871537787361e-15,0.182104114914132,0.144516589520849,-1.4299672557172e-16,0.981088358651676,0.474830425071096,1.92390393238987e-14,0.195810876251755,0.0662920135416736
"39","M",5,80,"Wrist",1.16939740713214,1.06170921117701,5.34236623931033,0.0555489471059347,0.0344217594434685,0.808916802047404,2.54121847937239,1.14162280771722,2.45062671527997,0.120374668066322,0.0370126445628694,0.371062753232754
"40","M",5,100,"Elbow",-0.00491269576803374,1.25580536782036,-7.78464076270483,0.0475047202514844,0.241202779739281,12.3106862696753,-0.010679773408769,1.35032835249502,-6.76852184830932,0.103271130981488,0.259357827676647,9.600621944539
"41","M",5,100,"Shoulder",-0.00799532020666273,0.583581789636877,6.57331266239652,0.081785206320856,0.403585295507826,4.06805346742737,-0.0173811308840494,0.627507300684814,3.05629748229711,0.17779392678447,0.433962683341748,1.90139653944181
"42","M",5,100,"Wrist",1.16955497068842,-0.171485909414176,9.43123151496546,0.0551231319065962,1.38606175753061,12.1526201895612,2.54156100884256,-0.184393450982985,3.94119560882296,0.119448736746874,1.49038898659206,7.04705710809774
"43","M",5,120,"Elbow",-0.604926922786685,0.260684779316582,-1.11647636994561,0.0934275301626123,0.287293163228321,5.79440134875422,-1.08860073668412,0.327253777100911,-0.907737045887659,0.294972599885926,0.309161955338662,4.71088504313427
"44","M",5,120,"Shoulder",-1.28423138172923,0.375793124117473,1.18058790204122,0.292455444742736,0.198172874296249,3.35151899873046,-2.45189978495183,0.495430523033099,0.552911335142584,0.696767394358647,0.285735918657207,1.54388340186189
"45","M",5,120,"Wrist",1.18137955538818,-0.505215824675734,-0.0138765420634786,0.0522982454000964,0.198272021424086,0.00631862480256612,1.79590678061823,-0.638404656161317,-0.0094869253473312,0.437214983579193,0.258339011620736,0.00585109841334935
"46","M",5,140,"Elbow",-0.587701542522099,0.119242187006545,-0.0148216478010136,0.11918215790815,0.209296466940589,0.0207619610888916,-0.765215440774565,0.175356157362566,-0.00679892100963928,0.157991237086602,0.307788921971455,0.00952383536187687
"47","M",5,140,"Shoulder",-0.405535482210016,-0.0143201392688164,9.93594850540118,0.38816312492308,0.621294461076715,6.19993718341161,-0.527956823537633,-0.0210590283364948,4.55777454376201,0.506205884869979,0.913668325112816,2.8440078822989
"48","M",5,140,"Wrist",1.02354653914274,-0.2796369439992,-0.0277273624963901,0.229032715856891,0.416615813199506,0.0333090124987084,1.32928121966589,-0.411230799998824,-0.0127189736221973,0.297445085528431,0.612670313528685,0.0152793635315176
